"Bairro","Latitude","Longitude","Consumo","Valor_conta","Chuveiro","Ar.cond","Lava_roupas","Microondas","Ventilador","Forno_elet","Lava_louca","Ferro","Geladeira","Perfil"
"Malvinas",-7.233777,-35.926309,170,99,0,0,0,1,2,0,0,1,2,"../../Consumption_Profile/Data/data_in_kw_random/user6-2014-01.csv"
"Santa Rosa",-7.23653,-35.904151,207,121,2,0,1,1,2,0,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user11-2014-01.csv"
"Cruzeiro",-7.254045,-35.904862,90,52,1,0,1,0,3,0,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user3-2014-04.csv"
"Jardim Paulistano",-7.250077,-35.897498,112,66,0,0,1,0,0,0,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user3-2014-01.csv"
"Jardim Tavares",-7.205927,-35.874618,323,188,3,0,1,1,0,1,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user40-2014-01.csv"
"Centenário",-7.226925,-35.906364,271,158,1,0,1,0,0,1,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user2-2014-02.csv"
"cruzeiro",-7.252768,-35.902116,105,62,0,0,1,0,0,1,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user4-2014-03.csv"
"Catole",-7.231723,-35.877949,120,70,2,2,1,1,0,1,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user1-2014-01.csv"
"Santa Rosa",-7.236049,-35.908285,142,83,2,0,1,1,1,0,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user1-2014-02.csv"
"Portal sudoeste",-7.261362,-35.934812,104,61,1,0,1,1,1,0,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user4-2014-06.csv"
"malvinas",-7.235759,-35.92531,123,72,1,0,1,1,2,0,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user2-2014-01.csv"
"Santo Antonio",-7.21678,-35.871992,176,103,2,0,1,1,2,0,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user5-2014-03.csv"
"Catolé",-7.230616,-35.876103,84,49,2,0,1,1,2,0,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user9-2014-03.csv"
"Montr Santo",-7.213574,-35.901839,145,85,0,0,1,1,2,0,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user1-2014-05.csv"
"Prata",-7.218122,-35.89656,150,88,2,0,1,1,1,0,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user2-2014-03.csv"
"Mirante",-7.235143,-35.865638,450,262,1,2,1,1,0,0,0,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user53-2014-04.csv"
"Santa Rosa",-7.232834,-35.905223,140,82,0,0,1,1,3,0,1,1,1,"../../Consumption_Profile/Data/data_in_kw_random/user6-2014-03.csv"
