"Usuario","Bairro","Qtd.pessoas.na.casa","Consumo","Residencia","Chuveiro","Ar.condicionado","Lava_roupas","Microondas","Ventilador","Forno_elettrico","Lava_louca","Ferro","Geladeira","TA","AF","TL","MK","MC","AL","MR","MH"
1,"Malvinas",5,170,"Casa",0,0,0,1,2,0,0,1,2,0,1,1,0,1,0,1,0
2,"Santa Rosa",3,207,"Casa",2,0,1,1,2,0,0,1,1,1,1,1,0,0,0,1,0
3,"Cruzeiro",4,90,"Casa",1,0,1,0,3,0,0,1,1,0,0,1,0,1,0,1,0
4,"Jardim Paulistano",4,112,"Casa",0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0
5,"Jardim Tavares",6,323,"Apartamento",3,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0
6,"Centenário",4,271,"Casa",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
7,"cruzeiro",5,105,"Casa",0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1
8,"Catole",2,120,"Apartamento",2,2,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1
9,"Santa Rosa",2,142,"Apartamento",2,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
10,"Portal sudoeste",2,104,"Casa",1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0
11,"malvinas",5,123,"Casa",1,0,1,1,2,0,0,1,1,1,0,1,0,1,0,1,0
12,"Santo Antonio",4,176,"Casa",2,0,1,1,2,0,0,1,1,1,0,1,1,0,0,1,1
13,"Catolé",3,84,"Apartamento",2,0,1,1,2,0,0,1,1,0,1,1,0,0,0,0,0
14,"Montr Santo",4,145,"Casa",0,0,1,1,2,0,0,1,1,0,1,1,0,0,0,0,0
15,"Prata",2,150,"Casa",2,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1
16,"Mirante",4,450,"Casa",1,2,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0
17,"Santa Rosa",4,140,"Apartamento",0,0,1,1,3,0,1,1,1,1,1,1,0,1,0,0,0
18,"Serrotão",2,250,"Casa",1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1
19,"Tambor",3,223,"Casa",2,1,1,1,2,0,0,0,1,0,0,1,0,1,0,0,1
20,"Velame",4,120,"Casa",0,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,0
21,"Centro",4,99,"Casa",2,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
22,"Alto branco ",7,396,"Casa",2,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0
23,"Bodocongo",3,85,"Apartamento",0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0
24,"DINAMERICA II",4,187,"Casa",3,0,0,1,4,0,0,2,1,1,1,1,0,1,0,0,0
25,"Sta Rosa",2,242,"Casa",2,2,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0
26,"Bodocongó",3,178,"Casa",1,0,1,1,2,0,0,1,1,1,0,1,0,1,1,0,0
27,"Jardim Paulistano",2,170,"Apartamento",1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
28,"Cruzeiro",2,226,"Apartamento",2,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
29,"Bela Vista2",2,146,"Apartamento",2,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0
30,"Tambor",2,145,"Casa",0,0,1,1,1,0,0,1,2,1,0,1,0,0,1,0,0
31,"são josé",8,140,"Casa",2,0,1,1,3,1,0,1,2,1,1,0,0,0,0,0,0
32,"Malvinas",4,230,"Casa",2,0,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1
33,"José Pinheiro",3,167,"Casa",1,0,1,1,3,0,0,1,1,1,0,0,0,0,0,1,0
34,"Mlavinas",2,130,"Casa",1,0,1,0,2,0,0,1,1,0,0,1,0,1,1,1,1
35,"Prata",3,85,"Apartamento",1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
36,"Bodocongó",3,116,"Casa",0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1
37,"Jardim Paulistano",3,323,"Casa",2,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1
38,"cruzeiro",3,100,"Casa",1,0,1,1,2,1,0,1,1,1,1,1,0,1,0,0,1
39,"Novo Bodongogó",3,163,"Apartamento",2,0,1,1,3,0,0,1,1,1,0,1,0,1,0,1,0
40,"Dinamerica",4,92,"Casa",0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
41,"Dinamerica",3,100,"Casa",1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1
42,"Cruzeiro",6,281,"Casa",2,1,1,1,4,1,0,1,1,1,1,1,0,1,1,1,1
43,"Bela Vista",4,271,"Apartamento",3,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1
44,"Universitário",4,125,"Apartamento",1,0,0,1,2,1,0,1,1,0,0,0,0,0,1,1,1
45,"Centro",2,96,"Apartamento",1,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,0
46,"Bodocongó",2,134,"Apartamento",1,0,1,1,2,0,0,1,1,0,1,1,0,1,1,1,0
47,"Bela Vista",3,244,"Casa",2,1,1,1,2,0,0,1,1,1,1,1,0,0,0,1,1
